1,89.1136,1.67492,4.29291,1.84454,0.03581,0.84197,0.06286,0.04454,0.87952,3.71873,1.38335,0.000100468,0.000100468,0.000100468
2,170.936,1.03216,3.3226,1.32737,0.19902,0.41257,0.1767,0.14812,0.69073,3.12656,1.26431,0.000191496,0.000191496,0.000191496
3,258.993,0.96089,2.76951,1.28998,0.31964,0.5057,0.33798,0.27031,0.72598,2.65993,1.39181,0.000272524,0.000272524,0.000272524
4,358.252,0.8975,2.45442,1.23997,0.39482,0.57781,0.46892,0.4149,0.53777,2.33075,1.23226,0.000258004,0.000258004,0.000258004
5,469.562,0.85554,2.2518,1.20607,0.4424,0.66084,0.57713,0.4883,0.64464,2.12944,1.33396,0.000243006,0.000243006,0.000243006
6,592.378,0.80287,2.06745,1.16537,0.60014,0.69138,0.69078,0.62287,0.46689,1.80991,1.18608,0.000228007,0.000228007,0.000228007
7,694.657,0.77586,1.95739,1.15893,0.59072,0.73637,0.7394,0.65959,0.48694,1.64712,1.20756,0.000213009,0.000213009,0.000213009
8,799.452,0.76436,1.85238,1.14717,0.66995,0.71395,0.75293,0.68982,0.41907,1.57564,1.15917,0.00019801,0.00019801,0.00019801
9,897.609,0.72824,1.74174,1.12195,0.69667,0.76512,0.81748,0.73366,0.4632,1.44938,1.19499,0.000183012,0.000183012,0.000183012
10,982.573,0.70228,1.68373,1.10143,0.74814,0.77416,0.84397,0.76353,0.4631,1.40069,1.18094,0.000168013,0.000168013,0.000168013
11,1099.1,0.77796,1.60722,1.22404,0.74564,0.81594,0.87411,0.80734,0.40716,1.25383,1.10774,0.000153015,0.000153015,0.000153015
12,1177.36,0.73092,1.45333,1.18567,0.79961,0.84148,0.90314,0.8579,0.3234,1.06439,1.07211,0.000138016,0.000138016,0.000138016
13,1256.93,0.69936,1.30629,1.1616,0.82068,0.86351,0.91972,0.87559,0.31765,0.97607,1.05735,0.000123018,0.000123018,0.000123018
14,1347.89,0.65751,1.19678,1.13,0.86445,0.87821,0.94425,0.92566,0.25279,0.86976,1.04203,0.000108019,0.000108019,0.000108019
15,1453.69,0.67313,1.12261,1.1445,0.91261,0.88555,0.95095,0.92512,0.28694,0.79235,1.04305,9.3021e-05,9.3021e-05,9.3021e-05
16,1555.22,0.63218,1.06913,1.10864,0.87994,0.91558,0.95984,0.95258,0.2364,0.76725,1.03283,7.80225e-05,7.80225e-05,7.80225e-05
17,1636.1,0.63696,1.00219,1.11902,0.93405,0.92479,0.97075,0.95533,0.25079,0.68564,1.03508,6.3024e-05,6.3024e-05,6.3024e-05
18,1718.62,0.61864,0.95075,1.1026,0.92296,0.93175,0.96942,0.96355,0.20763,0.66214,1.02952,4.80255e-05,4.80255e-05,4.80255e-05
19,1802.47,0.61325,0.92335,1.09976,0.93781,0.92956,0.97514,0.96316,0.23335,0.6363,1.03156,3.3027e-05,3.3027e-05,3.3027e-05
20,1886.98,0.60733,0.8934,1.09735,0.94387,0.94816,0.9776,0.97075,0.21394,0.6106,1.02871,1.80285e-05,1.80285e-05,1.80285e-05
